Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
16;M;2011;Aksel;16
29;F;2011;Amélie;29
7;F;2011;Anya;7
15;F;2011;Audrey;15
44;M;2011;Aurélien;44
23;F;2011;Bintou;23
6;F;2011;Cécilia;6
23;F;2011;Charline;23
32;F;2011;Chiara;32
12;M;2011;Chris;12
6;F;2011;Ela;6
16;M;2011;Elyes;16
374;M;2011;Gabriel;374
8;M;2011;Gautier;8
6;F;2011;Goundo;6
45;M;2011;Grégoire;45
5;M;2011;Harouna;5
8;M;2011;Ian;8
9;M;2011;Ilyès;9
6;M;2011;Imad;6
9;F;2011;Irène;9
8;M;2011;Jibril;8
5;M;2011;Joe;5
12;F;2011;Kiara;12
8;F;2011;Laetitia;8
9;M;2011;Lamine;9
18;F;2011;Lana;18
5;F;2011;Lili-Rose;5
7;F;2011;Linda;7
11;M;2011;Lior;11
85;F;2011;Lola;85
8;F;2011;Luce;8
5;F;2011;Ludmila;5
33;F;2011;Maëlys;33
12;F;2011;Malak;12
8;M;2011;Marco;8
11;F;2011;Marianne;11
12;F;2011;Marilou;12
11;M;2011;Marley;11
9;M;2011;Marvin;9
8;M;2011;Matis;8
16;F;2011;Maxine;16
5;F;2011;Monica;5
10;M;2011;Morgan;10
19;M;2011;Neil;19
16;M;2011;Oumar;16
5;M;2011;Réda;5
7;F;2011;Scarlett;7
9;M;2011;Sean;9
6;F;2011;Sélène;6
5;F;2011;Shaïna;5
36;F;2011;Sixtine;36
19;F;2011;Syrine;19
16;F;2011;Tessa;16
5;F;2011;Tina;5
5;F;2011;Tsipora;5
55;M;2004;Aaron;55
5;F;2004;Alessia;5
6;M;2004;Amara;6
38;F;2004;Amélie;38
8;F;2004;Angélina;8
6;F;2004;Bahia;6
132;M;2004;Baptiste;132
21;F;2004;Bérénice;21
11;M;2004;Brieuc;11
12;F;2004;Catherine;12
5;F;2004;Chayma;5
8;M;2004;Cheick;8
29;F;2004;Coline;29
87;M;2004;David;87
10;F;2004;Dina;10
19;F;2004;Domitille;19
23;F;2004;Elena;23
37;M;2004;Eliot;37
20;F;2004;Ella;20
14;M;2004;Elyes;14
9;F;2004;Emeline;9
266;F;2004;Emma;266
8;M;2004;Ernest;8
7;M;2004;Eugène;7
11;M;2004;Ewan;11
11;M;2004;Farès;11
57;F;2004;Fatoumata;57
5;F;2004;Floriane;5
12;F;2004;Grace;12
10;F;2004;Hajar;10
13;M;2004;Idriss;13
5;M;2004;Jimmy;5
11;F;2004;Johanna;11
32;M;2004;Killian;32
22;F;2004;Laetitia;22
5;F;2004;Lauryn;5
8;F;2004;Line;8
111;F;2004;Lisa;111
32;M;2004;Lorenzo;32
29;M;2004;Luc;29
188;M;2004;Lucas;188
9;F;2004;Mahaut;9
95;F;2004;Margot;95
44;F;2004;Mariam;44
11;F;2004;Milla;11
17;M;2004;Mohammed;17
10;M;2004;Neil;10
12;F;2004;Nora;12
11;F;2004;Ophélie;11
5;F;2004;Quitterie;5
33;F;2004;Rachel;33
7;M;2004;Rodrigue;7
5;F;2004;Rosa;5
7;M;2004;Rudy;7
7;M;2004;Skander;7
9;M;2004;Stefan;9
5;M;2004;Terence;5
74;F;2004;Valentine;74
227;M;2004;Victor;227
6;M;2004;Viktor;6
5;F;2004;Yasmina;5
9;M;2005;Abdallah;9
193;F;2005;Alice;193
34;M;2005;Amaury;34
48;F;2005;Amélie;48
43;M;2005;Amine;43
5;F;2005;Amy;5
31;F;2005;Anouk;31
5;F;2005;Anta;5
26;M;2005;Arnaud;26
5;M;2005;Aylan;5
8;F;2005;Bénédicte;8
10;M;2005;Brahim;10
29;M;2005;Camille;29
95;M;2005;Charles;95
13;F;2005;Elina;13
61;F;2005;Elisa;61
8;F;2005;Emeline;8
6;M;2005;Evann;6
13;M;2005;Eyal;13
8;F;2005;Félicie;8
9;M;2005;Gaston;9
49;F;2005;Iris;49
7;F;2005;Jenny;7
7;M;2005;Jimmy;7
29;M;2005;Jonas;29
28;M;2005;Jonathan;28
76;M;2005;Joseph;76
8;M;2005;Kaïs;8
6;F;2005;Karla;6
11;M;2005;Kelyan;11
7;F;2005;Léopoldine;7
6;F;2005;Lili-Rose;6
85;F;2005;Lola;85
12;F;2005;Lou-Ann;12
5;F;2005;Maëly;5
13;F;2005;Maeva;13
7;F;2005;Malia;7
32;F;2005;Marguerite;32
16;F;2005;Marianne;16
14;F;2005;Maryam;14
7;M;2005;Massinissa;7
15;M;2005;Mathurin;15
7;M;2005;Matt;7
15;M;2005;Mohammed;15
5;M;2005;Mouhamadou;5
5;F;2005;Naïa;5
6;F;2005;Nesrine;6
31;F;2005;Nour;31
6;M;2005;Riyad;6
74;F;2005;Rose;74
130;M;2005;Sacha;130
14;M;2005;Sam;14
14;M;2005;Sasha;14
6;F;2005;Tessa;6
54;M;2005;Thibault;54
10;M;2005;Timéo;10
18;M;2005;Tony;18
5;F;2005;Tosca;5
5;F;2005;Victorine;5
5;F;2005;Yaëlle;5
123;M;2005;Yanis;123
9;M;2005;Yassin;9
11;M;2005;Yoni;11
9;F;2005;Yuna;9
25;M;2006;Abel;25
7;F;2006;Adama;15
126;M;2006;Alexis;126
6;F;2006;Alia;6
7;F;2006;Amicie;7
31;M;2006;Anatole;31
9;M;2006;Ange;9
10;F;2006;Avril;10
